CÓDIGO DO MUNICÍPIO - TOM;CÓDIGO DO MUNICÍPIO - IBGE;MUNICÍPIO - TOM;MUNICÍPIO - IBGE;UF
126;2101970;BOA VISTA DO GURUPI;Boa Vista do Gurupi;MA
127;5100359;ALTO BOA VISTA;Alto Boa Vista;MT
128;2102036;BOM JESUS DAS SELVAS;Bom Jesus das Selvas;MA
129;5102694;CANABRAVA DO NORTE;Canabrava do Norte;MT
130;2102077;BOM LUGAR;Bom Lugar;MA
131;5103353;CONFRESA;Confresa;MT
132;2102150;BREJO DE AREIA;Brejo de Areia;MA
133;5107354;SÃO JOSÉ DO XINGU;São José do Xingu;MT
134;2102325;BURITICUPU;Buriticupu;MA
135;5103957;GLÓRIA D'OESTE;Glória D'Oeste;MT
136;2102358;BURITIRANA;Buritirana;MA
137;5105234;LAMBARI D'OESTE;Lambari D'Oeste;MT
138;2102374;CACHOEIRA GRANDE;Cachoeira Grande;MA
139;1200401;RIO BRANCO;Rio Branco;AC
140;2102556;CAMPESTRE DO MARANHÃO;Campestre do Maranhão;MA
141;5000252;ALCINÓPOLIS;Alcinópolis;MS
142;2102754;CAPINZAL DO NORTE;Capinzal do Norte;MA
143;5006002;NOVA ALVORADA DO SUL;Nova Alvorada do Sul;MS
144;2103125;CENTRAL DO MARANHÃO;Central do Maranhão;MA
145;1200500;SENA MADUREIRA;Sena Madureira;AC
146;2103158;CENTRO DO GUILHERME;Centro do Guilherme;MA
147;1200609;TARAUACÁ;Tarauacá;AC
148;2103174;CENTRO NOVO DO MARANHÃO;Centro Novo do Maranhão;MA
149;1200708;XAPURI;Xapuri;AC
150;2103257;CIDELÂNDIA;Cidelândia;MA
151;1200385;PLÁCIDO DE CASTRO;Plácido de Castro;AC
152;2103554;CONCEIÇÃO DO LAGO-AÇU;Conceição do Lago-Açu;MA
153;1200450;SENADOR GUIOMARD;Senador Guiomard;AC
154;2103752;DAVINÓPOLIS;Davinópolis;MA
155;1200344;MANOEL URBANO;Manoel Urbano;AC
156;2104073;FEIRA NOVA DO MARANHÃO;Feira Nova do Maranhão;MA
157;1200054;ASSIS BRASIL;Assis Brasil;AC
158;2104081;FERNANDO FALCÃO;Fernando Falcão;MA
159;5006259;NOVO HORIZONTE DO SUL;Novo Horizonte do Sul;MS
160;2104099;FORMOSA DA SERRA NEGRA;Formosa da Serra Negra;MA
161;5004809;JAPORÃ;Japorã;MS
162;2104552;GOVERNADOR EDISON LOBÃO;Governador Edison Lobão;MA
163;5005251;LAGUNA CARAPÃ;Laguna Carapã;MS
164;2104628;GOVERNADOR LUIZ ROCHA;Governador Luiz Rocha;MA
165;1701051;ANGICO;Angico;TO
166;2104651;GOVERNADOR NEWTON BELLO;Governador Newton Bello;MA
167;1701309;ARAGOMINAS;Aragominas;TO
168;2104677;GOVERNADOR NUNES FREIRE;Governador Nunes Freire;MA
169;1702158;ARAGUANÃ;Araguanã;TO
170;2105153;IGARAPÉ DO MEIO;Igarapé do Meio;MA
171;1703826;CACHOEIRINHA;Cachoeirinha;TO
172;2105351;ITAIPAVA DO GRAJAÚ;Itaipava do Grajaú;MA
173;1703842;CAMPOS LINDOS;Campos Lindos;TO
174;2105427;ITINGA DO MARANHÃO;Itinga do Maranhão;MA
175;1703883;CARMOLÂNDIA;Carmolândia;TO
176;2105450;JATOBÁ;Jatobá;MA
177;1703891;CARRASCO BONITO;Carrasco Bonito;TO
178;2105476;JENIPAPO DOS VIEIRAS;Jenipapo dos Vieiras;MA
179;1706506;DARCINÓPOLIS;Darcinópolis;TO
180;2105658;JUNCO DO MARANHÃO;Junco do Maranhão;MA
181;1707405;ESPERANTINA;Esperantina;TO
182;2105922;LAGOA DO MATO;Lagoa do Mato;MA
183;1712801;MAURILÂNDIA DO TOCANTINS;Maurilândia do Tocantins;TO
184;2105948;LAGO DOS RODRIGUES;Lago dos Rodrigues;MA
185;1713809;PALMEIRAS DO TOCANTINS;Palmeiras do Tocantins;TO
186;2105963;LAGOA GRANDE DO MARANHÃO;Lagoa Grande do Maranhão;MA
187;1713957;MURICILÂNDIA;Muricilândia;TO
188;2105989;LAJEADO NOVO;Lajeado Novo;MA
189;1715705;PALMEIRANTE;Palmeirante;TO
190;2106326;MARACAÇUMÉ;Maracaçumé;MA
191;1716307;PAU D'ARCO;Pau D'Arco;TO
192;2106359;MARAJÁ DO SENA;Marajá do Sena;MA
193;1718550;RIACHINHO;Riachinho;TO
194;2106375;MARANHÃOZINHO;Maranhãozinho;MA
195;1718865;SANTA FÉ DO ARAGUAIA;Santa Fé do Araguaia;TO
196;2106631;MATÕES DO NORTE;Matões do Norte;MA
197;1720101;SÃO BENTO DO TOCANTINS;São Bento do Tocantins;TO
198;2106672;MILAGRES DO MARANHÃO;Milagres do Maranhão;MA
199;1720200;SÃO MIGUEL DO TOCANTINS;São Miguel do Tocantins;TO
200;2107258;NOVA COLINAS;Nova Colinas;MA
201;1303205;NOVO AIRÃO;Novo Airão;AM
202;2107357;NOVA OLINDA DO MARANHÃO;Nova Olinda do Maranhão;MA
203;1300102;ANORI;Anori;AM
204;2107456;OLINDA NOVA DO MARANHÃO;Olinda Nova do Maranhão;MA
205;1300201;ATALAIA DO NORTE;Atalaia do Norte;AM
206;2108058;PAULINO NEVES;Paulino Neves;MA
207;1300300;AUTAZES;Autazes;AM
208;2108256;PEDRO DO ROSÁRIO;Pedro do Rosário;MA
209;1300409;BARCELOS;Barcelos;AM
210;2108454;PERITORÓ;Peritoró;MA
211;1300508;BARREIRINHA;Barreirinha;AM
212;2109056;PORTO RICO DO MARANHÃO;Porto Rico do Maranhão;MA
213;1300607;BENJAMIN CONSTANT;Benjamin Constant;AM
214;2109239;PRESIDENTE MÉDICI;Presidente Médici;MA
215;1300706;BOCA DO ACRE;Boca do Acre;AM
216;2109270;PRESIDENTE SARNEY;Presidente Sarney;MA
217;1300805;BORBA;Borba;AM
218;2109452;RAPOSA;Raposa;MA
219;1300904;CANUTAMA;Canutama;AM
220;2109551;RIBAMAR FIQUENE;Ribamar Fiquene;MA
221;1301001;CARAUARI;Carauari;AM
222;2109759;SANTA FILOMENA DO MARANHÃO;Santa Filomena do Maranhão;MA
223;1301100;CAREIRO;Careiro;AM
224;2110237;SANTANA DO MARANHÃO;Santana do Maranhão;MA
225;1301209;COARI;Coari;AM
226;2110278;SANTO AMARO DO MARANHÃO;Santo Amaro do Maranhão;MA
227;1301308;CODAJÁS;Codajás;AM
228;2110658;SÃO DOMINGOS DO AZEITÃO;São Domingos do Azeitão;MA
229;1301407;EIRUNEPÉ;Eirunepé;AM
230;2110856;SÃO FRANCISCO DO BREJÃO;São Francisco do Brejão;MA
231;1301506;ENVIRA;Envira;AM
232;2111029;SÃO JOÃO DO CARÚ;São João do Carú;MA
233;1301605;FONTE BOA;Fonte Boa;AM
234;2111052;SÃO JOÃO DO PARAÍSO;São João do Paraíso;MA
235;1301704;HUMAITÁ;Humaitá;AM
236;2111078;SÃO JOÃO DO SOTER;São João do Soter;MA
237;1303601;SANTA ISABEL DO RIO NEGRO;Santa Isabel do Rio Negro;AM
238;2111250;SÃO JOSÉ DOS BASÍLIOS;São José dos Basílios;MA
239;1301803;IPIXUNA;Ipixuna;AM
240;2111532;SÃO PEDRO DA ÁGUA BRANCA;São Pedro da Água Branca;MA
241;1301902;ITACOATIARA;Itacoatiara;AM
242;2111573;SÃO PEDRO DOS CRENTES;São Pedro dos Crentes;MA
243;1302009;ITAPIRANGA;Itapiranga;AM
244;2111631;SÃO RAIMUNDO DO DOCA BEZERRA;São Raimundo do Doca Bezerra;MA
245;1302108;JAPURÁ;Japurá;AM
246;2111672;SÃO ROBERTO;São Roberto;MA
247;1302207;JURUÁ;Juruá;AM
248;2111722;SATUBINHA;Satubinha;MA
249;1302306;JUTAÍ;Jutaí;AM
250;2111748;SENADOR ALEXANDRE COSTA;Senador Alexandre Costa;MA
251;1302405;LÁBREA;Lábrea;AM
252;2111763;SENADOR LA ROCQUE;Senador La Rocque;MA
253;1302504;MANACAPURU;Manacapuru;AM
254;2111789;SERRANO DO MARANHÃO;Serrano do Maranhão;MA
255;1302603;MANAUS;Manaus;AM
256;2111953;SUCUPIRA DO RIACHÃO;Sucupira do Riachão;MA
257;1302702;MANICORÉ;Manicoré;AM
258;2112233;TRIZIDELA DO VALE;Trizidela do Vale;MA
259;1302801;MARAÃ;Maraã;AM
260;2112274;TUFILÂNDIA;Tufilândia;MA
261;1302900;MAUÉS;Maués;AM
262;2112456;TURILÂNDIA;Turilândia;MA
263;1303007;NHAMUNDÁ;Nhamundá;AM
264;2112852;VILA NOVA DOS MARTÍRIOS;Vila Nova dos Martírios;MA
265;1303106;NOVA OLINDA DO NORTE;Nova Olinda do Norte;AM
266;2200053;ACAUÃ;Acauã;PI
267;1303304;NOVO ARIPUANÃ;Novo Aripuanã;AM
268;2200459;ALVORADA DO GURGUÉIA;Alvorada do Gurguéia;PI
269;1303403;PARINTINS;Parintins;AM
270;2201051;ASSUNÇÃO DO PIAUÍ;Assunção do Piauí;PI
271;1303502;PAUINI;Pauini;AM
272;2201176;BARRA D'ALCÂNTARA;Barra D'Alcântara;PI
273;1303700;SANTO ANTÔNIO DO IÇÁ;Santo Antônio do Içá;AM
274;2201556;BELA VISTA DO PIAUÍ;Bela Vista do Piauí;PI
275;1303908;SÃO PAULO DE OLIVENÇA;São Paulo de Olivença;AM
276;2201572;BELÉM DO PIAUÍ;Belém do Piauí;PI
277;1304005;SILVES;Silves;AM
278;2201739;BETÂNIA DO PIAUÍ;Betânia do Piauí;PI
279;1304104;TAPAUÁ;Tapauá;AM
280;2201770;BOA HORA;Boa Hora;PI
281;1304203;TEFÉ;Tefé;AM
282;2201945;BOQUEIRÃO DO PIAUÍ;Boqueirão do Piauí;PI
283;1303809;SÃO GABRIEL DA CACHOEIRA;São Gabriel da Cachoeira;AM
284;2201988;BREJO DO PIAUÍ;Brejo do Piauí;PI
285;1304302;URUCARÁ;Urucará;AM
286;2202075;CAJAZEIRAS DO PIAUÍ;Cajazeiras do Piauí;PI
287;1304401;URUCURITUBA;Urucurituba;AM
288;2202083;CAJUEIRO DA PRAIA;Cajueiro da Praia;PI
289;1300029;ALVARÃES;Alvarães;AM
290;2202117;CAMPO ALEGRE DO FIDALGO;Campo Alegre do Fidalgo;PI
291;1300060;AMATURÁ;Amaturá;AM
292;2202133;CAMPO GRANDE DO PIAUÍ;Campo Grande do Piauí;PI
293;1300086;ANAMÃ;Anamã;AM
294;2202174;CAMPO LARGO DO PIAUÍ;Campo Largo do Piauí;PI
295;1300631;BERURI;Beruri;AM
296;2202455;CAPITÃO GERVÁSIO OLIVEIRA;Capitão Gervásio Oliveira;PI
297;1300680;BOA VISTA DO RAMOS;Boa Vista do Ramos;AM
298;2202539;CARAÚBAS DO PIAUÍ;Caraúbas do Piauí;PI
299;1300839;CAAPIRANGA;Caapiranga;AM
300;2202554;CARIDADE DO PIAUÍ;Caridade do Piauí;PI
301;1400100;BOA VISTA;Boa Vista;RR
302;2202653;CAXINGÓ;Caxingó;PI
303;1400209;CARACARAÍ;Caracaraí;RR
304;2202711;COCAL DE TELHA;Cocal de Telha;PI
305;1400050;ALTO ALEGRE;Alto Alegre;RR
306;2202729;COCAL DOS ALVES;Cocal dos Alves;PI
307;1400159;BONFIM;Bonfim;RR
308;2203230;CURRAIS;Currais;PI
309;1400308;MUCAJAÍ;Mucajaí;RR
310;2203255;CURRALINHOS;Curralinhos;PI
311;1400407;NORMANDIA;Normandia;RR
312;2203271;CURRAL NOVO DO PIAUÍ;Curral Novo do Piauí;PI
313;1400506;SÃO JOÃO DA BALIZA;São João da Baliza;RR
314;2203859;FLORESTA DO PIAUÍ;Floresta do Piauí;PI
315;1400605;SÃO LUIZ;São Luiz;RR
316;2204154;FRANCISCO MACEDO;Francisco Macedo;PI
317;1712702;MATEIROS;Mateiros;TO
318;2204352;GEMINIANO;Geminiano;PI
320;2204550;GUARIBAS;Guaribas;PI
321;1715259;NOVO JARDIM;Novo Jardim;TO
322;2204659;ILHA GRANDE;Ilha Grande;PI
323;1718659;RIO DA CONCEIÇÃO;Rio da Conceição;TO
324;2205276;JATOBÁ DO PIAUÍ;Jatobá do Piauí;PI
325;1720937;TAIPAS DO TOCANTINS;Taipas do Tocantins;TO
326;2205359;JOÃO COSTA;João Costa;PI
327;1703867;CARIRI DO TOCANTINS;Cariri do Tocantins;TO
328;2205458;JOCA MARQUES;Joca Marques;PI
329;1711506;JAÚ DO TOCANTINS;Jaú do Tocantins;TO
330;2205516;JUAZEIRO DO PIAUÍ;Juazeiro do Piauí;PI
331;1718840;SANDOLÂNDIA;Sandolândia;TO
332;2205524;JÚLIO BORGES;Júlio Borges;PI
333;1720259;SÃO SALVADOR DO TOCANTINS;São Salvador do Tocantins;TO
334;2205532;JUREMA;Jurema;PI
335;1720853;SUCUPIRA;Sucupira;TO
336;2205540;LAGOINHA DO PIAUÍ;Lagoinha do Piauí;PI
337;1700251;ABREULÂNDIA;Abreulândia;TO
338;2205573;LAGOA DE SÃO FRANCISCO;Lagoa de São Francisco;PI
339;1703602;BRASILÂNDIA DO TOCANTINS;Brasilândia do Tocantins;TO
340;2205581;LAGOA DO PIAUÍ;Lagoa do Piauí;PI
341;1703305;BOM JESUS DO TOCANTINS;Bom Jesus do Tocantins;TO
342;2205599;LAGOA DO SÍTIO;Lagoa do Sítio;PI
343;1704105;CENTENÁRIO;Centenário;TO
344;2205854;MADEIRO;Madeiro;PI
345;1708254;FORTALEZA DO TABOCÃO;Tabocão;TO
346;2206050;MASSAPÊ DO PIAUÍ;Massapê do Piauí;PI
347;1710904;ITAPIRATINS;Itapiratins;TO
348;2206357;MILTON BRANDÃO;Milton Brandão;PI
349;1711803;JUARINA;Juarina;TO
350;2206654;MORRO CABEÇA NO TEMPO;Morro Cabeça no Tempo;PI
351;1712009;LAJEADO;Lajeado;TO
352;2206670;MORRO DO CHAPÉU DO PIAUÍ;Morro do Chapéu do Piauí;PI
353;1711951;LAGOA DO TOCANTINS;Lagoa do Tocantins;TO
354;2206696;MURICI DOS PORTELAS;Murici dos Portelas;PI
355;1717206;PIRAQUÊ;Piraquê;TO
356;2206753;NOSSA SENHORA DE NAZARÉ;Nossa Senhora de Nazaré;PI
357;1718501;RECURSOLÂNDIA;Recursolândia;TO
358;2206951;NOVO SANTO ANTÔNIO;Novo Santo Antônio;PI
359;1718709;RIO DOS BOIS;Rio dos Bois;TO
360;2207108;OLHO D'ÁGUA DO PIAUÍ;Olho D'Água do Piauí;PI
361;1718881;SANTA MARIA DO TOCANTINS;Santa Maria do Tocantins;TO
362;2207355;PAJEÚ DO PIAUÍ;Pajeú do Piauí;PI
363;1720150;SÃO FÉLIX DO TOCANTINS;São Félix do Tocantins;TO
364;2207553;PAQUETÁ;Paquetá;PI
365;1721307;TUPIRATINS;Tupiratins;TO
366;2207850;PAVUSSU;Pavussu;PI
367;1711902;LAGOA DA CONFUSÃO;Lagoa da Confusão;TO
368;2207934;PEDRO LAURENTINO;Pedro Laurentino;PI
369;1506351;SANTA BÁRBARA DO PARÁ;Santa Bárbara do Pará;PA
370;2207959;NOVA SANTA RITA;Nova Santa Rita;PI
371;1506559;SANTA LUZIA DO PARÁ;Santa Luzia do Pará;PA
372;2208551;PORTO ALEGRE DO PIAUÍ;Porto Alegre do Piauí;PI
373;1507961;TERRA ALTA;Terra Alta;PA
374;2208858;RIACHO FRIO;Riacho Frio;PI
375;1500131;ABEL FIGUEIREDO;Abel Figueiredo;PA
376;2208874;RIBEIRA DO PIAUÍ;Ribeira do Piauí;PI
377;1502954;ELDORADO DOS CARAJÁS;Eldorado do Carajás;PA
378;2209450;SANTO ANTÔNIO DOS MILAGRES;Santo Antônio dos Milagres;PI
379;1505494;PALESTINA DO PARÁ;Palestina do Pará;PA
380;2209658;SÃO FRANCISCO DE ASSIS DO PIAUÍ;São Francisco de Assis do Piauí;PI
381;1507151;SÃO DOMINGOS DO ARAGUAIA;São Domingos do Araguaia;PA
382;2209757;SÃO GONÇALO DO GURGUÉIA;São Gonçalo do Gurguéia;PI
383;1500347;ÁGUA AZUL DO NORTE;Água Azul do Norte;PA
384;2209872;SÃO JOÃO DA FRONTEIRA;São João da Fronteira;PI
385;1502764;CUMARU DO NORTE;Cumaru do Norte;PA
386;2209955;SÃO JOÃO DA VARJOTA;São João da Varjota;PI
387;1505551;PAU D'ARCO;Pau D'Arco;PA
388;2209971;SÃO JOÃO DO ARRAIAL;São João do Arraial;PI
389;1500958;AURORA DO PARÁ;Aurora do Pará;PA
390;2210375;SÃO LUIS DO PIAUÍ;São Luis do Piauí;PI
391;1504950;NOVA ESPERANÇA DO PIRIÁ;Nova Esperança do Piriá;PA
392;2210383;SÃO MIGUEL DA BAIXA GRANDE;São Miguel da Baixa Grande;PI
393;1507474;SÃO JOÃO DE PIRABAS;São João de Pirabas;PA
394;2210391;SÃO MIGUEL DO FIDALGO;São Miguel do Fidalgo;PI
395;1507953;TAILÂNDIA;Tailândia;PA
396;2210623;SEBASTIÃO BARROS;Sebastião Barros;PI
397;1508084;TUCUMÃ;Tucumã;PA
398;2210631;SEBASTIÃO LEAL;Sebastião Leal;PI
399;1508159;URUARÁ;Uruará;PA
400;2210938;SUSSUAPARA;Sussuapara;PI
401;1500107;ABAETETUBA;Abaetetuba;PA
402;2210953;TAMBORIL DO PIAUÍ;Tamboril do Piauí;PI
403;1500206;ACARÁ;Acará;PA
404;2210979;TANQUE DO PIAUÍ;Tanque do Piauí;PI
405;1500305;AFUÁ;Afuá;PA
406;2211506;VERA MENDES;Vera Mendes;PI
407;1500404;ALENQUER;Alenquer;PA
408;2211605;VILA NOVA DO PIAUÍ;Vila Nova do Piauí;PI
409;1500503;ALMEIRIM;Almeirim;PA
410;2211704;WALL FERRAZ;Wall Ferraz;PI
411;1500602;ALTAMIRA;Altamira;PA
412;2401651;BODÓ;Bodó;RN
413;1500701;ANAJÁS;Anajás;PA
414;2401859;CAIÇARA DO NORTE;Caiçara do Norte;RN
415;1500800;ANANINDEUA;Ananindeua;PA
416;2403756;FERNANDO PEDROZA;Fernando Pedroza;RN
417;1500909;AUGUSTO CORRÊA;Augusto Corrêa;PA
418;2404853;ITAJÁ;Itajá;RN
419;1501006;AVEIRO;Aveiro;PA
420;2407252;MAJOR SALES;Major Sales;RN
421;1501105;BAGRE;Bagre;PA
422;2408953;RIO DO FOGO;Rio do Fogo;RN
423;1501204;BAIÃO;Baião;PA
424;2409332;SANTA MARIA;Santa Maria;RN
425;1501303;BARCARENA;Barcarena;PA
426;2410256;PORTO DO MANGUE;Porto do Mangue;RN
427;1501402;BELÉM;Belém;PA
428;2411056;TIBAU;Tibau;RN
429;1501501;BENEVIDES;Benevides;PA
430;2412559;SÃO MIGUEL DO GOSTOSO;São Miguel do Gostoso;RN
431;1501600;BONITO;Bonito;PA
432;2413557;SERRINHA DOS PINTOS;Serrinha dos Pintos;RN
433;1501709;BRAGANÇA;Bragança;PA
434;2414159;TENENTE LAURENTINO CRUZ;Tenente Laurentino Cruz;RN
435;1501808;BREVES;Breves;PA
436;2414456;TRIUNFO POTIGUAR;Triunfo Potiguar;RN
437;1501907;BUJARU;Bujaru;PA
438;2414753;VENHA-VER;Venha-Ver;RN
439;1502004;CACHOEIRA DO ARARI;Cachoeira do Arari;PA
440;2500536;ALCANTIL;Alcantil;PB
441;1502103;CAMETÁ;Cametá;PA
442;2500577;ALGODÃO DE JANDAÍRA;Algodão de Jandaíra;PB
443;1502202;CAPANEMA;Capanema;PA
444;2500734;AMPARO;Amparo;PB
445;1502301;CAPITÃO POÇO;Capitão Poço;PA
446;2500775;APARECIDA;Aparecida;PB
447;1502400;CASTANHAL;Castanhal;PA
448;2501153;AREIA DE BARAÚNAS;Areia de Baraúnas;PB
449;1502509;CHAVES;Chaves;PA
450;2501351;ASSUNÇÃO;Assunção;PB
451;1502608;COLARES;Colares;PA
452;2501534;BARAÚNA;Baraúna;PB
453;1502707;CONCEIÇÃO DO ARAGUAIA;Conceição do Araguaia;PA
454;2501575;BARRA DE SANTANA;Barra de Santana;PB
